time;e1;e2;e3;e4;e5;e6;e7;e8
0.28301;2.835567;2.57503;2.537411;2.421106;2.88452;2.028824;2.027346;2.024717
0.28401;2.835567;2.577658;2.53774;2.42127;2.884356;2.028824;2.027346;2.024717
0.28501;2.836552;2.580451;2.538397;2.421763;2.885013;2.029481;2.028003;2.02521
0.28601;2.835895;2.580286;2.537247;2.421435;2.884685;2.028988;2.02751;2.024717
0.28701;2.835895;2.572566;2.536754;2.421763;2.88452;2.029153;2.02751;2.025046
0.28801;2.83606;2.574537;2.537904;2.421435;2.884356;2.028988;2.027346;2.025046
0.28901;2.835567;2.576672;2.537575;2.421435;2.88452;2.028988;2.027838;2.02521
0.29001;2.835238;2.576344;2.537575;2.42127;2.884356;2.028824;2.02751;2.024881
0.29101;2.835567;2.57388;2.537904;2.421106;2.884027;2.028495;2.027181;2.024553
0.29201;2.83606;2.577165;2.538068;2.421927;2.884849;2.029153;2.027674;2.025046
0.29301;2.835238;2.577987;2.537411;2.421435;2.884356;2.029153;2.027346;2.024881
0.29401;2.835403;2.575851;2.538397;2.421599;2.884685;2.028988;2.02751;2.025046
0.29501;2.83491;2.574373;2.537247;2.421106;2.884356;2.028988;2.027346;2.024553
0.29601;2.835567;2.576837;2.537575;2.421763;2.884685;2.029317;2.02751;2.02521
0.29701;2.835074;2.578151;2.537411;2.421106;2.88452;2.029153;2.027346;2.024717
0.29801;2.834088;2.570923;2.536918;2.420942;2.883863;2.02866;2.026853;2.024224
0.29901;2.835403;2.573223;2.537904;2.421435;2.88452;2.029153;2.02751;2.025046
0.30001;2.835403;2.57503;2.537411;2.421599;2.88452;2.029153;2.02751;2.024717
0.30101;2.835403;2.57618;2.537904;2.421599;2.88452;2.029481;2.027674;2.024881
0.30201;2.835403;2.57158;2.537411;2.42127;2.884027;2.028824;2.027017;2.024881
0.30301;2.83606;2.574537;2.537411;2.421763;2.884685;2.029481;2.02751;2.02521
0.30401;2.836224;2.576508;2.537904;2.422092;2.885177;2.02981;2.028003;2.025703
0.30501;2.835238;2.576837;2.53774;2.42127;2.884356;2.028824;2.027181;2.024881
0.30601;2.835895;2.572237;2.53774;2.421599;2.884027;2.028988;2.027346;2.024881
